dataset_index,sample_key,job,month,time_index,z0,local_z,global_z,height_m,y0,x0,valid_fraction_3d,valid_fraction_slice,score,u_R,u_MAE,u_RMSE,v_R,v_MAE,v_RMSE,w_R,w_MAE,w_RMSE,theta_prime_R,theta_prime_MAE,theta_prime_RMSE,theta_R,theta_MAE,theta_RMSE,png
300,camden/z20_camden201903/t0037/z000_y0544_x0000,z20_camden201903,3,37,0,12,12,120.0,544,0,0.37184810638427734,0.8283538818359375,0.6080175332595628,0.5877597158625093,3.071866281080389,3.439539209755104,0.6028636380771396,4.000531663391702,4.353256284701767,0.4887633989839104,0.15513606429571933,0.22934658015653234,0.6674447577259601,0.4807184401658095,0.4918755735642137,0.1495042601625683,0.35679435754574645,0.38018587915903446,stage1_more_case_000_m03_t037_h120_y0544_x0000.png
626,camden/z23_camden201906/t0037/z000_y0000_x0512,z23_camden201906,6,37,0,5,5,50.0,0,512,0.6771478652954102,0.55816650390625,0.5997409492211913,0.6177048684458071,1.3147263659161255,1.6990253654984864,0.6080994780531598,1.7058204799776457,2.078999284878468,0.4735677433996126,0.39873220328232806,0.5771493065091138,0.5881241631062891,0.7627593323042511,0.8342071782577735,0.5771365843753012,0.6959352354588829,0.7746685140980957,stage1_more_case_001_m06_t037_h050_y0000_x0512.png
785,camden/z25_camden201908/t0033/z000_y0000_x0256,z25_camden201908,8,33,0,5,5,50.0,0,256,0.6587667465209961,0.598602294921875,0.5411607690028712,0.5647603538195981,1.2947674570538212,1.5820442763682334,0.649507303986068,2.34431755953895,2.631958210730231,0.3369513826748748,0.18191292620566205,0.26560433900285507,0.3972780785485774,0.13063057810485956,0.16598412167060522,0.40379479583090344,0.15018141428305426,0.18895409477495534,stage1_more_case_002_m08_t033_h050_y0000_x0256.png
493,camden/z22_camden201905/t0035/z000_y0544_x0256,z22_camden201905,5,35,0,10,10,100.0,544,256,0.30510807037353516,0.369384765625,0.4685728214362483,0.573379022852631,1.8444823176555105,2.2496040239725144,0.43555739242291297,1.794846715271394,2.193632637807953,0.23217925662799976,0.5004642335410528,0.6433917817443622,0.41534445303363166,0.2584120302811334,0.32982416045839985,0.40817352031739795,0.2765919621701439,0.34844256862094025,stage1_more_case_003_m05_t035_h100_y0544_x0256.png
125,camden/z19_camden201902/t0033/z000_y0544_x0256,z19_camden201902,2,33,0,10,10,100.0,544,256,0.30510807037353516,0.369384765625,0.41959554004184535,0.3981603746876756,0.8839617104362512,1.0950094001182376,0.5993868251719717,1.038398779377154,1.2743309983242215,0.272069304493886,0.36312004429093847,0.4814829634626922,0.22740221946509806,0.13955948421558007,0.1726725787803648,0.1951581917546441,0.19206303724451562,0.23795544739281793,stage1_more_case_004_m02_t033_h100_y0544_x0256.png
104,camden/z18_camden201901/t0039/z000_y0512_x0000,z18_camden201901,1,39,0,12,12,120.0,512,0,0.3696422576904297,0.827423095703125,0.41389565470675416,0.6030806133913049,2.159913239950661,2.3481349354934244,0.32121522296509447,2.202269904040949,2.277915663057426,0.29994067905667204,0.1104819406701125,0.15526076821975732,0.3015803121167234,0.5040626236418367,0.5159764433163044,0.21425464132467953,0.38636909563371785,0.41251878623707433,stage1_more_case_005_m01_t039_h120_y0512_x0000.png
1026,camden/z27_camden201910/t0034/z000_y0000_x0512,z27_camden201910,10,34,0,3,3,30.0,0,512,0.6771478652954102,0.174072265625,0.33458290608560687,0.20733119550565593,1.6032364342837147,1.9292045763920842,0.261213464543426,1.4958303059447364,1.6624676585947877,0.1296828427144284,0.24660555437200446,0.3379613384876514,0.6564325317308272,0.29036843665936884,0.31539935570252503,0.5600152748846395,0.2544130590152607,0.29040469957611803,stage1_more_case_006_m10_t034_h030_y0000_x0512.png
392,camden/z21_camden201904/t0036/z000_y0512_x0000,z21_camden201904,4,36,0,15,15,150.0,512,0,0.3696422576904297,0.9937744140625,0.22466663786227103,-0.2049523610349611,3.7442518017326725,3.9089778587404895,0.45362165554678036,1.4686998784772711,1.6125434734463364,0.013608984603568292,0.22951875137994268,0.314145613394443,0.5478077422118235,0.9869051052609996,0.9982493750239968,0.5238729214060464,1.0825857512269408,1.094952437110336,stage1_more_case_007_m04_t036_h150_y0512_x0000.png
685,camden/z24_camden201907/t0033/z000_y0544_x0256,z24_camden201907,7,33,0,12,12,120.0,544,256,0.30510807037353516,0.6702728271484375,0.20254200394893165,0.1451211284718546,0.9460400073297671,1.1869056082569407,0.23111626312958772,1.1572253574785398,1.363194754614462,-0.0017672770364289586,0.45271936594193213,0.6067583545598777,0.2837891229609932,0.7767119797708927,0.8464203993199014,0.2753871497054241,0.8891776267245853,0.9529583388722527,stage1_more_case_008_m07_t033_h120_y0544_x0256.png
968,camden/z26_camden201909/t0037/z000_y0512_x0000,z26_camden201909,9,37,0,12,12,120.0,512,0,0.3696422576904297,0.827423095703125,0.19476261303926848,0.183140563694117,2.0805787233861737,2.213783585795169,0.17383705872361663,1.0849132190058268,1.3158811897200593,0.11786705500213493,0.2096162946511062,0.3018410225734833,0.2557083697718198,0.48463028227703,0.4964684320141613,0.1827027102858171,0.4709172252885349,0.4838968759129348,stage1_more_case_009_m09_t037_h120_y0512_x0000.png
